"key","title","reportNumber","url","itemType","date","thumbnail"
"V53L6AGZ","Teff Hay Production Guidelines for Utah","Paper 1398","https://digitalcommons.usu.edu/extension_curall/1398","report","2012/10","paper_1398.png"
"GI34JL9P","Teff Grass for Forage: Nitrogen and irrigation requirements","PNW 709","https://extension.oregonstate.edu/sites/default/files/documents/pnw709.pdf","report","2018/6","pnw_709.png"
"X6GWHF7N","Fertilizer Guide: Hops","FG 79","https://ir.library.oregonstate.edu/concern/administrative_report_or_publications/0g354f82t","report","1994","fg_79.png"
"TMUJNDA6","Growing Hazelnuts in the Pacific Northwest: Orchard Nutrition","EM 9080","https://ir.library.oregonstate.edu/concern/open_educational_resources/zk51vh19x","report","2013/11","em_9080.png"
"6XRGBEHI","Soil Test Interpretation Guide","EM 1478","https://extension.oregonstate.edu/sites/default/files/catalog/auto/EC1478.pdf","report","1999/8","em_1478.png"
"6D6TZ7SQ","Orchardgrass Hay Production Guide for the Columbia Basin of Washington","EB2004","https://hdl.handle.net/2376/5913","report","2006/7","eb2004.png"
"GJHH5X5Y","Nutrient Management Guide: Central Washington Irrigated Potatoes","EB1882","https://hdl.handle.net/2376/6902","report","1999/3","eb1882.png"
"P6AG8U3F","Find a CCA","CCA","https://www.sciencesocieties.org/certifications/professional-search","report","","cca.png"
"JYK2K59Z","Northern Idaho Fertilizer Guide: Alfalfa","CIS 447","https://www.uidaho.edu/extension/publications/cis-0447","report","2005","cis_447.png"
"HRRANKBS","Organic potato production in Idaho: Nutrient management and variety selection","BUL 885","https://www.nwpotatoresearch.com/images/documents/OrganicProductionBUL885.pdf","report","2013/8","bul_885.png"
"Z5RGNLXB","Cultural Management of Classic Russet Potatoes","CIS 1181","https://verso.uidaho.edu/esploro/outputs/996823132301851","report","2011/10","cis_1181.png"
"QSF9L799","Cultural Management of Blazer Russet Potatoes","CIS 1149","https://verso.uidaho.edu/esploro/outputs/996822656401851","report","2008/4","cis_1149.png"
"AFKK5AZH","Nutrient Management Guidelines for Russet Burbank Potatoes","BUL 840","https://doi.org/10.60841/000000147","report","2004","bul_840.png"
"3QEJPRG3","Cultural Management of Russet Norkotah Potatoes","CIS 863","https://verso.uidaho.edu/esploro/outputs/996823134401851","report","2003","cis_863.png"
